# Rime user dictionary
#@/db_name	cangjie5.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	4667
#@/user_id	stella
a 	日	c=21 d=1.40405 t=4667
a 	曰	c=1 d=0.0611149 t=4667
ab 	明	c=6 d=1.8725 t=4667
abmrb 	明确	c=1 d=0.588605 t=4667
adi 	时	c=7 d=1.88954 t=4667
ahbu 	眉	c=1 d=0.116484 t=4667
aidvi 	時機	c=1 d=0.960789 t=4667
ailsa 	时间	c=1 d=0.740818 t=4667
aimvu 	既	c=9 d=1.7748 t=4667
aisl 	即	c=2 d=0.597501 t=4667
ajv 	晏	c=2 d=1.84163 t=4667
ak 	旲	c=1 d=0.995012 t=4667
akkb 	晞	c=1 d=0.366045 t=4667
am 	旦	c=2 d=1.87883 t=4667
amk 	昊	c=5 d=2.41182 t=4667
amyo 	是	c=23 d=7.16538 t=4667
an 	門	c=2 d=0.105476 t=4667
annok 	闋	c=1 d=0.474734 t=4667
anr 	問	c=3 d=0.593012 t=4667
anrr 	閭	c=1 d=0.0816756 t=4667
ansj 	聞	c=4 d=0.623253 t=4667
anvit 	關	c=6 d=1.15029 t=4667
aombo 	题	c=1 d=0.786628 t=4667
aowy 	晦	c=1 d=0.084163 t=4667
apvo 	曷	c=5 d=0.867189 t=4667
arf 	照	c=1 d=2.25449e-05 t=4667
ashr 	昭	c=2 d=1.29777 t=4667
atce 	暴	c=1 d=0.740818 t=4667
atgi 	㬢	c=1 d=0.0558548 t=4667
auuj 	曓	c=1 d=0.158025 t=4667
ayrf 	景	c=1 d=0.287941 t=4667
b 	月	c=34 d=3.21391 t=4667
bayc 	冥	c=2 d=1.25942 t=4667
bb 	朋	c=1 d=0.196912 t=4667
bbb 	骨	c=1 d=0.516851 t=4667
bbe 	受	c=3 d=1.27563 t=4667
bbke 	朋友	c=1 d=0.97531 t=4667
bbpe 	愛	c=1 d=0.0889216 t=4667
bbtwt 	體	c=2 d=0.6677 t=4667
bbu 	亂	c=2 d=0.792813 t=4667
bcgwc 	贖	c=3 d=2.34904 t=4667
bchaf 	鵙	c=2 d=0.114252 t=4667
bcir 	貽	c=2 d=0.203573 t=4667
bckb 	賄	c=1 d=0.425283 t=4667
bcln 	則	c=6 d=1.73357 t=4667
bcnd 	膩子	c=1 d=0.186374 t=4667
bd 	采	c=22 d=1.13438 t=4667
bfhvf 	縣	c=1 d=0.108609 t=4667
bfqi 	螣	c=1 d=0.802519 t=4667
bgr 	周	c=3 d=0.506617 t=4667
bhher 	貉	c=2 d=0.236928 t=4667
bhmam 	貆	c=1 d=0.109154 t=4667
bhne 	股	c=3 d=0.331139 t=4667
bhnf 	爲	c=23 d=1.67679 t=4667
bhu 	见	c=1 d=0.327915 t=4667
bhwg 	貍	c=1 d=0.0702988 t=4667
bjb 	肺	c=1 d=0.806541 t=4667
bkcor 	谿	c=1 d=0.209088 t=4667
bkf 	然	c=10 d=2.66854 t=4667
bkog 	雞	c=6 d=0.352606 t=4667
bm 	且	c=7 d=1.30443 t=4667
bmc 	月工資	c=-1 d=0.650509 t=4667
bmi 	县	c=1 d=0.65377 t=4667
bmke 	爰	c=4 d=1.03853 t=4667
bmm 	冄	c=-3 d=0.440432 t=4667
bmmc 	具	c=1 d=0.232236 t=4667
bmog 	雎	c=2 d=0.0297679 t=4667
bmr 	同	c=12 d=3.53515 t=4667
bommf 	祭	c=1 d=0.187308 t=4667
botf 	膴	c=1 d=0.418952 t=4667
boyr 	贴	c=1 d=0.759572 t=4667
bq 	用	c=7 d=2.77467 t=4667
bsle 	服	c=3 d=0.852144 t=4667
bsmh 	膠	c=2 d=0.158128 t=4667
btu 	岡	c=1 d=0.0259911 t=4667
btyv 	罔	c=2 d=0.625002 t=4667
bu 	目	c=1 d=0.748264 t=4667
buhu 	見	c=12 d=0.872187 t=4667
buln 	剛	c=1 d=0.169483 t=4667
buncr 	瞻	c=3 d=0.8566 t=4667
byhhh 	彤	c=2 d=0.191697 t=4667
bysm 	写	c=1 d=0.951229 t=4667
c 	金	c=5 d=0.992918 t=4667
ccc 	鑫	c=1 d=0.763379 t=4667
ci 	公	c=8 d=2.02184 t=4667
cihr 	鍼	c=2 d=1.7215 t=4667
